iter	Logloss
0	0.6842346945
1	0.6767915897
2	0.6694259745
3	0.6620945568
4	0.6536500247
5	0.6478089233
6	0.6412889062
7	0.6347338058
8	0.6271851013
9	0.620464067
10	0.613424664
11	0.6083727669
12	0.6014419107
13	0.595118625
14	0.5884192967
15	0.582103441
16	0.5757505521
17	0.5714296504
18	0.5657540384
19	0.5602385769
20	0.5541737181
21	0.5498346072
22	0.5444484474
23	0.539316327
24	0.5343549988
25	0.5288005072
26	0.524693373
27	0.5198428382
28	0.5148077461
29	0.5108704591
30	0.5057038117
31	0.5015117224
32	0.4975186351
33	0.4941155818
34	0.4899469786
35	0.4858540049
36	0.4820550275
37	0.4781206503
38	0.4754441126
39	0.4716718256
40	0.4685206035
41	0.4654000921
42	0.4616418994
43	0.4589598529
44	0.4562732897
45	0.4526447896
46	0.4497660029
47	0.4466327938
48	0.4434346178
49	0.4402840892
50	0.4365502365
51	0.434392914
52	0.4324121763
53	0.4295521032
54	0.4266103018
55	0.4232781032
56	0.420062418
57	0.4172314387
58	0.4140766435
59	0.4119613339
60	0.4095033696
61	0.4072953368
62	0.4058541682
63	0.4034553193
64	0.4011753248
65	0.3997605476
66	0.3973863211
67	0.3947227247
68	0.3927614975
69	0.3909113065
70	0.388542388
71	0.3864628775
72	0.3842889906
73	0.3825529652
74	0.3807954537
75	0.3794896183
76	0.3776973934
77	0.3760286936
78	0.3741602302
79	0.3727880614
80	0.3715156777
81	0.3697745658
82	0.3673316555
83	0.3653130205
84	0.3637321501
85	0.3625594685
86	0.3609924697
87	0.3596882215
88	0.3582120979
89	0.3563826105
90	0.3543492756
91	0.352529728
92	0.3512992525
93	0.3497034399
94	0.3487229908
95	0.3473431393
96	0.3460806221
97	0.3445008408
98	0.3431068815
99	0.3422953313
100	0.3408814589
101	0.3392772356
102	0.3378955073
103	0.3365297727
104	0.3349930037
105	0.3340938846
106	0.333119211
107	0.3321713222
108	0.3308668231
109	0.3295002001
110	0.3285180701
111	0.3274651385
112	0.3259962976
113	0.3251484703
114	0.323798168
115	0.3227744374
116	0.3216356613
117	0.3205987985
118	0.3199063599
119	0.3188986108
120	0.3179196367
121	0.3168806068
122	0.3159974598
123	0.3151504604
124	0.3142208579
125	0.3130643675
126	0.3119214568
127	0.3112648631
128	0.3104001489
129	0.3096454496
130	0.308600524
131	0.3076275657
132	0.3069232471
133	0.3060771832
134	0.3053654029
135	0.3045374465
136	0.3038255581
137	0.3030925001
138	0.3020410645
139	0.301408022
140	0.3008945066
141	0.3007571441
142	0.3000433426
143	0.2993077696
144	0.2983396618
145	0.2978957861
146	0.2972788388
147	0.2964001123
148	0.2957186253
149	0.2948710405
150	0.2940185422
151	0.2931659595
152	0.292398015
153	0.2915226719
154	0.2905758441
155	0.2904710237
156	0.2899534889
157	0.2894841617
158	0.2888026992
159	0.2880055132
160	0.2875506347
161	0.2871248904
162	0.2865495634
163	0.2860474527
164	0.2853154437
165	0.284880749
166	0.284128654
167	0.2835275178
168	0.2830890897
169	0.2827428831
170	0.2821968232
171	0.2815681116
172	0.2809828022
173	0.2805412029
174	0.2801395411
175	0.2795686152
176	0.2790652655
177	0.2784428469
178	0.2779429692
179	0.2776825618
180	0.2772249781
181	0.2766398686
182	0.2760549836
183	0.2756538327
184	0.2753901251
185	0.2745472871
186	0.2742278837
187	0.2735657754
188	0.2731866586
189	0.2727847378
190	0.2722228242
191	0.2717744819
192	0.2711804603
193	0.2709222349
194	0.270610161
195	0.2703431722
196	0.2698148967
197	0.2693594489
198	0.2689313743
199	0.2683612363
200	0.2676934465
201	0.267145959
202	0.2667462804
203	0.2665443372
204	0.2660966012
205	0.2655403727
206	0.2651288061
